lastPrice,change,pChange,previousClose,open,close,basePrice
3138.0,46.90000000000009,1.5172592281065023,3091.1,3092.75,0.0,3091.1
1206.0,18.65000000000009,1.5707247231229287,1187.35,1195.8,0.0,1187.35
6322.3,12.5,0.1981045358014517,6309.8,6280.0,0.0,6309.8
2964.0,9.900000000000091,0.33512744998477,2954.1,2966.0,0.0,2954.1
1067.5,13.400000000000091,1.2712266388388287,1054.1,1048.2,0.0,1054.1
7667.8,101.40000000000055,1.3401353351660044,7566.4,7566.4,0.0,7566.4
6865.9,48.69999999999982,0.7143695358798308,6817.2,6820.0,0.0,6817.2
1623.0,32.450000000000045,2.0401747823080094,1590.55,1594.0,0.0,1590.55
502.25,-1.9499999999999886,-0.3867512891709617,504.2,505.95,0.0,504.2
1171.75,13.099999999999909,1.1306261597548792,1158.65,1159.0,0.0,1158.65
5173.1,81.35000000000036,1.5976825256542517,5091.75,5091.75,0.0,5091.75
1352.0,34.90000000000009,2.6497608382051547,1317.1,1317.1,0.0,1317.1
406.0,3.4499999999999886,0.8570363929946562,402.55,405.05,0.0,402.55
3658.0,106.30000000000018,2.992932961680327,3551.7,3585.0,0.0,3551.7
6120.0,279.0500000000002,4.777476266703194,5840.95,5825.05,0.0,5840.95
3841.35,136.5999999999999,3.687158377758281,3704.75,3716.0,0.0,3704.75
2160.0,33.84999999999991,1.5920795804623338,2126.15,2126.5,0.0,2126.15
1570.8,11.5,0.7375104213429103,1559.3,1559.3,0.0,1559.3
1462.65,18.350000000000136,1.27051166655128,1444.3,1439.5,0.0,1444.3
576.25,1.25,0.21739130434782608,575.0,573.5,0.0,575.0
4620.0,31.649999999999636,0.6897904475464957,4588.35,4567.5,0.0,4588.35
579.45,10.200000000000045,1.7918313570487565,569.25,569.2,0.0,569.25
2475.0,16.34999999999991,0.664999084863641,2458.65,2450.0,0.0,2458.65
1024.7,7.800000000000068,0.7670370734585572,1016.9,1016.8,0.0,1016.9
441.75,3.6999999999999886,0.8446524369364201,438.05,440.0,0.0,438.05
1537.75,17.84999999999991,1.1744193696953686,1519.9,1519.2,0.0,1519.9
1656.75,5.2999999999999545,0.3209300917375612,1651.45,1648.25,0.0,1651.45
816.0,4.0,0.49261083743842365,812.0,812.0,0.0,812.0
1826.5,2.900000000000091,0.15902610221540311,1823.6,1816.0,0.0,1823.6
5420.0,67.19999999999982,1.255417725302642,5352.8,5351.0,0.0,5352.8
3480.0,-153.30000000000018,-4.219304764263898,3633.3,3520.0,0.0,3633.3
10161.05,209.39999999999964,2.104173679741547,9951.65,9959.3,0.0,9951.65
317.75,2.3000000000000114,0.7291171342526586,315.45,318.55,0.0,315.45
2507.0,14.949999999999818,0.5999077065066839,2492.05,2509.0,0.0,2492.05
253.15,3.950000000000017,1.585072231139654,249.2,250.45,0.0,249.2
259.9,5.799999999999983,2.282565918929549,254.1,254.0,0.0,254.1
2850.0,34.75,1.2343486368883758,2815.25,2808.0,0.0,2815.25
1406.0,7.0,0.5003573981415297,1399.0,1400.0,0.0,1399.0
641.55,14.799999999999955,2.3613881132828007,626.75,626.4,0.0,626.75
1415.0,43.25,3.152906870785493,1371.75,1371.7,0.0,1371.75
3804.0,3.449999999999818,0.09077633500413934,3800.55,3811.2,0.0,3800.55
1119.0,-3.900000000000091,-0.34731498797756616,1122.9,1125.0,0.0,1122.9
884.8,25.949999999999932,3.0214822145892684,858.85,865.2,0.0,858.85
135.95,1.25,0.9279881217520417,134.7,135.0,0.0,134.7
1330.0,12.150000000000091,0.9219562165648664,1317.85,1318.1,0.0,1317.85
3697.45,-38.30000000000018,-1.025229204309715,3735.75,3749.0,0.0,3735.75
538.25,3.0,0.560485754320411,535.25,538.9,0.0,535.25
10145.0,181.39999999999964,1.8206270825805897,9963.6,9960.0,0.0,9963.6
477.0,4.5,0.9523809523809524,472.5,472.5,0.0,472.5
